Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
9809,SF,Nicolas,Batum,31.8,28,7200,LAL@CHA,CHA,LAL,,
23801,SG,Nik,Stauskas,13,29,3700,PHI@UTA,PHI,UTA,,
14514,C,Nikola,Vucevic,33.4,27,8000,NO@ORL,ORL,NO,,
14522,SF,Nikola,Mirotic,21.3,28,5200,TOR@CHI,CHI,TOR,,
12459,C,Nikola,Pekovic,0,25,4800,MIN@SA,MIN,SA,O,Achilles
16293,SG,Norman,Powell,4,12,3500,TOR@CHI,TOR,CHI,,
14527,PG,Norris,Cole,12.7,13,3500,NO@ORL,NO,ORL,,
9574,SG,O.J.,Mayo,20.2,20,5200,MIL@DAL,MIL,DAL,,
12423,C,Omer,Asik,9.1,23,3600,NO@ORL,NO,ORL,,
9960,SF,Omri,Casspi,22.7,29,5100,SAC@GS,SAC,GS,,
15628,SF,Otto,Porter,23.5,25,5700,LAC@WAS,WAS,LAC,,
23407,SF,P.J.,Tucker,15.4,32,3700,CLE@PHO,PHO,CLE,,
15951,SF,P.J.,Hairston,10.2,26,3600,LAL@CHA,CHA,LAL,,
23234,PG,Pablo,Prigioni,7.4,11,3500,LAC@WAS,LAC,WAS,,
9939,PG,Patrick,Mills,15.7,32,3900,MIN@SA,SA,MIN,,
12340,PF,Patrick,Patterson,14.1,31,3500,TOR@CHI,TOR,CHI,,
9570,PF,Pau,Gasol,37.5,27,8900,TOR@CHI,CHI,TOR,,
12341,SF,Paul,George,40,29,8800,ATL@IND,IND,ATL,,
9729,PF,Paul,Millsap,37.2,32,8300,ATL@IND,ATL,IND,,
9459,SF,Paul,Pierce,9,29,3800,LAC@WAS,LAC,WAS,,
15925,PG,Phil (Flip),Pressey,11.2,14,3500,PHI@UTA,PHI,UTA,,
12357,SF,Quincy,Pondexter,0,25,3900,NO@ORL,NO,ORL,O,Knee
15469,PF,Quincy,Acy,5.3,12,3500,SAC@GS,SAC,GS,,
9455,PG,Rajon,Rondo,37.4,29,8300,SAC@GS,SAC,GS,,
16202,PF,Rakeem,Christmas,0,24,3500,ATL@IND,IND,ATL,,
9605,PG,Ramon,Sessions,16.8,28,4000,LAC@WAS,WAS,LAC,,
58661,SG,Rashad,Vaughn,4.5,23,3500,MIL@DAL,MIL,DAL,,
9559,SF,Rasual,Butler,6.1,24,3500,MIN@SA,SA,MIN,,
40208,PG,Raul,Neto,11.2,27,3700,PHI@UTA,UTA,PHI,,
18352,PG,Ray,McCallum,4.4,13,3500,MIN@SA,SA,MIN,,
9465,PG,Raymond,Felton,19.6,30,5000,MIL@DAL,DAL,MIL,,
9706,SF,Richard,Jefferson,11.1,27,3500,CLE@PHO,CLE,PHO,,
23447,PF,Richaun,Holmes,10.9,22,3500,PHI@UTA,PHI,UTA,,
14496,PG,Ricky,Rubio,30.7,24,7400,MIN@SA,MIN,SA,,
20491,SF,Robert,Covington,24.2,23,5300,PHI@UTA,PHI,UTA,,
18702,C,Robert,Sacre,9.2,12,3500,LAL@CHA,LAL,CHA,,
9514,SG,Rodney,Stuckey,19.2,24,4900,ATL@IND,IND,ATL,,
15904,SG,Rodney,Hood,20,27,4500,PHI@UTA,UTA,PHI,,
42148,SF,Rondae,Hollis-Jefferson,17.2,19,4000,BKN@MIA,BKN,MIA,O,Ankle
9723,PG,Ronnie,Price,8.9,30,3500,CLE@PHO,PHO,CLE,GTD,Toe
9553,C,Roy,Hibbert,19.7,31,4500,LAL@CHA,LAL,CHA,,
15699,SG,Roy Devyn,Marble,0.8,5,3500,NO@ORL,ORL,NO,,
9577,SF,Rudy,Gay,30.6,28,7300,SAC@GS,SAC,GS,,
40203,C,Rudy,Gobert,29.5,14,7100,PHI@UTA,UTA,PHI,O,Knee
9772,PF,Ryan,Anderson,26.9,28,6000,NO@ORL,NO,ORL,,
9611,PF,Ryan,Hollins,4,5,4000,LAC@WAS,WAS,LAC,,
15587,SF,Ryan,Kelly,11.5,10,3500,LAL@CHA,LAL,CHA,,
64017,C,Salah,Mejri,2.2,5,3500,MIL@DAL,DAL,MIL,,
66520,C,Sasha,Kaun,3,8,3500,CLE@PHO,CLE,PHO,,
40202,SF,Sergey,Karasev,1.9,11,3500,BKN@MIA,BKN,MIA,,
15583,SG,Seth,Curry,5.6,15,3500,SAC@GS,SAC,GS,,
15560,PG,Shabazz,Napier,8.5,25,3500,NO@ORL,ORL,NO,,
23717,SF,Shabazz,Muhammad,11.6,30,3500,MIN@SA,MIN,SA,,
15834,PG,Shane,Larkin,16.5,26,4600,BKN@MIA,BKN,MIA,,
9643,PG,Shaun,Livingston,12.7,27,3500,SAC@GS,GS,SAC,,
20907,C,Shayne,Whittington,-2,1,3500,ATL@IND,IND,ATL,,
14533,PG,Shelvin,Mack,8.2,11,3500,ATL@IND,ATL,IND,,
15417,SG,Solomon,Hill,4.7,13,3500,ATL@IND,IND,ATL,,
9928,SF,Sonny,Weems,4.4,13,3500,CLE@PHO,PHO,CLE,,
9700,C,Spencer,Hawes,13.1,27,3800,LAL@CHA,CHA,LAL,GTD,Back
9524,PG,Stephen,Curry,47.6,29,10900,SAC@GS,GS,SAC,,
18393,PG,T.J.,McConnell,19.5,32,4000,PHI@UTA,PHI,UTA,,
23120,SF,T.J.,Warren,17.2,31,3700,CLE@PHO,PHO,CLE,,
9481,PF,Taj,Gibson,18.8,28,4700,TOR@CHI,CHI,TOR,,
17332,C,Tarik,Black,9.3,8,3500,LAL@CHA,LAL,CHA,,
9518,SF,Tayshaun,Prince,6.7,30,3500,MIN@SA,MIN,SA,,
16405,SG,Terrence,Ross,13.7,25,4000,TOR@CHI,TOR,CHI,,
9647,SF,Thabo,Sefolosha,17.4,28,4200,ATL@IND,ATL,IND,,
9666,PF,Thaddeus,Young,31.7,30,7000,BKN@MIA,BKN,MIA,,
15730,PF,Thomas,Robinson,8.5,26,3500,BKN@MIA,BKN,MIA,,
12421,C,Tiago,Splitter,12,23,3500,ATL@IND,ATL,IND,O,Leg
12353,C,Tibor,Pleiss,1.6,4,3500,PHI@UTA,UTA,PHI,,
9710,C,Tim,Duncan,25.7,28,6200,MIN@SA,SA,MIN,,
15846,SG,Tim,Hardaway Jr.,5,4,3500,ATL@IND,ATL,IND,,
12424,C,Timofey,Mozgov,13.5,25,3500,CLE@PHO,CLE,PHO,,
14518,SF,Tobias,Harris,27.9,30,6300,NO@ORL,ORL,NO,,
9751,PG,Toney,Douglas,11.8,17,3500,NO@ORL,NO,ORL,,
9702,PG,Tony,Parker,23.3,31,5600,MIN@SA,SA,MIN,,
16412,PG,Tony,Wroten,12.4,8,5100,PHI@UTA,PHI,UTA,,
17517,SG,Tony,Snell,11.3,26,3500,TOR@CHI,CHI,TOR,,
12350,PF,Trevor,Booker,16,27,4300,PHI@UTA,UTA,PHI,,
15843,PG,Trey,Burke,17.8,28,4400,PHI@UTA,UTA,PHI,,
58461,PF,Trey,Lyles,7.3,26,3500,PHI@UTA,UTA,PHI,,
14501,PF,Tristan,Thompson,21.2,28,4600,CLE@PHO,CLE,PHO,,
20805,SG,Troy,Daniels,3.5,12,3500,LAL@CHA,CHA,LAL,,
18600,PG,Tyler,Johnson,15.5,20,3700,BKN@MIA,MIA,BKN,GTD,Shoulder
9551,PF,Tyler,Hansbrough,5.2,15,3500,LAL@CHA,CHA,LAL,,
42689,PG,Tyler,Ennis,6.8,14,3500,MIL@DAL,MIL,DAL,,
9692,PG,Tyreke,Evans,33.4,13,7400,NO@ORL,NO,ORL,,
9473,C,Tyson,Chandler,15.7,23,3800,CLE@PHO,PHO,CLE,,
58081,PG,Tyus,Jones,6.5,4,3500,MIN@SA,MIN,SA,,
9589,PF,Udonis,Haslem,5.5,14,3500,BKN@MIA,MIA,BKN,,
15684,SG,Victor,Oladipo,26.6,28,6100,NO@ORL,ORL,NO,,
55063,C,Walter,Tavares,1.7,4,3500,ATL@IND,ATL,IND,,
9956,SG,Wayne,Ellington,9.1,29,3600,BKN@MIA,BKN,MIA,,
9799,SG,Wesley,Matthews,20.2,28,5000,MIL@DAL,DAL,MIL,,
12348,SF,Wesley,Johnson,10.2,31,3500,LAC@WAS,LAC,WAS,,
23823,C,Willie,Cauley-Stein,14.2,20,3600,SAC@GS,SAC,GS,O,Finger
34615,PF,Willie,Reed,8.5,11,3500,BKN@MIA,BKN,MIA,,
40783,SG,Zach,LaVine,23,30,5300,MIN@SA,MIN,SA,,
9454,C,Zaza,Pachulia,26,30,6300,MIL@DAL,DAL,MIL,,
